scenario_id,study_id,paper_id,asset_class,service_family,activation_latency_raw,activation_latency_s,full_response_time_raw,full_response_time_s,sustain_duration_raw,sustain_duration_s,planning_horizon_raw,planning_horizon_s,communication_latency_raw,communication_latency_s,controller_runtime_raw,controller_runtime_s,reporting_note,source_locator
SC0001,ST0001,P0001,DC,demand_response_peak_management,,,,,3 h,10800,,,,,,,"Distinct time concepts; blanks mean not reported, never zero.",PDF p.3|journal p.256|Figs. 2-3|PDF pp.1-7|journal pp.254-260
SC0002,ST0002,P0002,BLDG,renewable_energy_integration,,,,,,,,,,,,,"Distinct time concepts; blanks mean not reported, never zero.",PDF pp.5-6|journal pp.5-6
SC0002,ST0002,P0002,EV,renewable_energy_integration,,,,,,,,,,,,,"Distinct time concepts; blanks mean not reported, never zero.",PDF pp.5-6|journal pp.5-6
