comparability_group_id,metric_code,normalized_unit,independent_study_n,summary_status,individual_values,minimum,maximum,median,q1,q3,notes
CG_2dac637774,sustain_duration_s,s,1,individual_values_and_contextual_range_only,10800.0,10800.0,10800.0,,,,No central estimate: fewer than five independent comparable studies.
CG_45ece79628,demand_reduction_percent_average_base_load,percent_of_average_base_load,1,individual_values_and_contextual_range_only,25.0,25.0,25.0,,,,No central estimate: fewer than five independent comparable studies.
